Url;Spec;Major_image
https://aurora-pack.ru/catalog/sku/mo3000m/;"Тип: полуавтомат
Производительность: 1000 шт/ч
Тип тары: Стеклянная тара
Мощность: до 0.5 кВт
Вес: 100 кг
Напряжение: 220
Емкость магазина флаконов: 8 шт
Количество моечных сопел: до 8 шт
Количество моющих растворов: до 2 шт
Отрасль: ФармацевтикаВетеринария
Реализуемые моечные операции: ершеваниеобработка чистой водой
Внутренний диаметр горла тары: 12 - 25 мм
Высота тары: 55 - 165 мм
Диаметр корпуса тары: 22 - 79 мм
Высота: до 850 мм
Длина: до 860 мм
Ширина: до 610 мм";/upload/resize_cache/iblock/ca9/370_370_1/1Logo.jpg
https://aurora-pack.ru/catalog/sku/tdm600/;"Тип: полуавтомат
Производительность: 100 - 3000 шт/ч
Мощность: до 0,18 кВт
Вес: 50 кг
Напряжение: 220
Отрасль: КосметикаФармацевтикаХимия
Тип транспортерной системы: Поворотные накопительные столы
Высота: до 960 мм
Скорость вращения стола: до 6 об/мин
Диаметр вращающегося стола: 500 - 600 мм
Длина: до 608 мм
Ширина: до 608 мм";/upload/resize_cache/iblock/5ea/370_370_1/911e13e0c4d5287e4c2f4365c2c5893a.jpg
https://aurora-pack.ru/catalog/sku/reactor80l/;"Тип: ручной
Отрасль: КосметикаФармацевтикаВетеринарияХимия";/upload/resize_cache/iblock/cf8/370_370_1/d4aea1e6627a03981a27737fb6026cb1.gif
https://aurora-pack.ru/catalog/sku/bmf/;"Тип: ручной
Отрасль: ФармацевтикаВетеринария";/upload/resize_cache/iblock/b21/370_370_1/863c50ec028d20388c2681e3ddbcd60b.JPG
https://aurora-pack.ru/catalog/sku/mdp200f/;"Тип: полуавтомат
Производительность: до 600 шт/ч
Тип дозатора: Полуавтоматические перистальтические дозаторы
Диапазон розлива: 1 — 1000 мл
Тип тары: Стеклянная тараПластиковая тара
Мощность: 0,14 кВт
Вес: 6 кг
Напряжение: 220
Количество разливочных головок: 1 шт
Отрасль: ФармацевтикаПищевое производствоВетеринарияХимия
Внутренний диаметр горла тары: от 10 мм
Высота тары: от 55 мм
Диаметр корпуса тары: от 22 мм
Тип продукта: ЖидкийСредневязкий
Продолжительность переналадки: 1 - 2 мин
Высота: 180 мм
Диапазон расхода: до 1500 мл/мин
Скорость: 10 — 600 об/мин
Длина: 292 мм
Ширина: 185 мм
Количество дозирующих сопел: 1 шт";/upload/resize_cache/iblock/d28/370_370_1/fa6e9b76a808afbd77cecb99f700e594.jpg
https://aurora-pack.ru/catalog/sku/linia-rozliva-siropov/;"Тип: ручной
Производительность: 1000 - 3000 шт/ч
Тип дозатора: Механические дозаторы
Тип наклеиваемой этикетки: этикетка на холодном клею
Тип тары: Стеклянная тараПластиковая тара
Тип этикетировщика: Ручные механические этикетировщики
Тип линии розлива: Линии розлива пищевых продуктов
Мощность: 2 - 4 кВт
Напряжение: 220
Отрасль: Пищевое производство
Реализуемые моечные операции: обработка чистой водой
Тип продукта: Вода и негазированные напиткиСок
Продолжительность переналадки: 10 - 20 мин";/upload/resize_cache/iblock/32a/370_370_1/4d652f3803f6e9588de175e52fd62b2a.jpg
https://aurora-pack.ru/catalog/sku/linia-rozliva-lekarstv/;"Тип: автомат
Производительность: 1000 шт/ч
Тип дозатора: Перистальтический
Тип наклеиваемой этикетки: самоклеящаяся этикетка
Тип тары: Стеклянная тара
Тип этикетировщика: Автоматические этикетировочные линии
Тип линии розлива: Линии розлива фармацевтических и ветеринарных препаратов 
Напряжение: 220
Отрасль: Фармацевтика
Тип продукта: Лекарственный препарат
Высота: 1750 мм
Длина: 2700 мм
Ширина: 1800 мм";/upload/resize_cache/iblock/ea8/370_370_1/52e0fc0c94f5ce27fc818b397786fc52.jpg
https://aurora-pack.ru/catalog/sku/uplotnenie/;Тип: ручной;/upload/resize_cache/iblock/423/370_370_1/b62daf904073c30299b6d9b219626b4f.jpg
https://aurora-pack.ru/catalog/sku/os-rolika/;Тип: ручной;/upload/resize_cache/iblock/25e/370_370_1/d232efd5cdf5e2f335df064a3a8ff17f.jpg
https://aurora-pack.ru/catalog/sku/ploskie-pruzhini/;Тип: ручной;/upload/resize_cache/iblock/36a/370_370_1/efd5c96674cf32b69b472778302d19a2.jpg
